,Time,Open,High,Low,Close,Volume,QuoteAssetVolume,NumberOfTrades,ID_Coin,Pt-1,Pt+1buyHigh,Pt+5c,Pt+10c,Time_human
465,1655327820000,2.20700000,2.23,2.20700000,2.23,36419.9,80674.27844000,140,ALICEUSDT,2.207,2.233,2.425,2.417,2022-06-15 21:17:00
466,1655887200000,0.71600000,0.727,0.71200000,0.727,43474.68,31275.02688000,169,PERPUSDT,0.717,0.73,0.759,0.803,2022-06-22 08:40:00
467,1656861660000,0.62600000,0.637,0.62600000,0.637,60053.5,38023.19672000,153,PERPUSDT,0.627,0.664,0.682,0.741,2022-07-03 15:21:00
468,1657541160000,0.86800000,0.889,0.86600000,0.883,105196.35,92956.49000000,327,PERPUSDT,0.867,0.89,0.965,0.997,2022-07-11 12:06:00
469,1659524700000,0.88700000,0.926,0.88700000,0.923,100489.35,91196.21419000,531,PERPUSDT,0.886,0.929,1.026,1.032,2022-08-03 11:05:00
470,1656034920000,0.04160000,0.0427,0.04160000,0.0423,521602.0,21991.79820000,94,RAMPUSDT,0.0417,0.0425,0.044,0.0468,2022-06-24 01:42:00
471,1656035460000,0.04470000,0.0454,0.04450000,0.0452,1422062.0,64103.73780000,232,RAMPUSDT,0.0445,0.0469,0.0491,0.05,2022-06-24 01:51:00
472,1656316500000,0.03970000,0.0418,0.03960000,0.0406,3160429.0,128867.03790000,312,RAMPUSDT,0.0396,0.0407,0.0458,0.0503,2022-06-27 07:55:00
473,1656599520000,0.04830000,0.0488,0.04820000,0.0488,41808.0,2028.94890000,18,RAMPUSDT,0.0483,0.0489,0.0502,0.0539,2022-06-30 14:32:00
474,1655676780000,0.15070000,0.1532,0.15040000,0.1532,72552.0,11029.39390000,80,SUPERUSDT,0.1507,0.1538,0.1596,0.1782,2022-06-19 22:13:00
475,1656672600000,0.12310000,0.1262,0.12310000,0.126,414108.0,51765.92620000,137,SUPERUSDT,0.1233,0.1293,0.1369,0.1388,2022-07-01 10:50:00
476,1658477400000,0.15610000,0.1587,0.15500000,0.1581,666647.0,104088.37750000,359,SUPERUSDT,0.1561,0.1588,0.1684,0.1686,2022-07-22 08:10:00
477,1661631540000,0.13330000,0.1359,0.13330000,0.1348,296281.0,39807.84490000,175,SUPERUSDT,0.1324,0.1384,0.1583,0.1477,2022-08-27 20:19:00
478,1661703240000,0.13510000,0.1369,0.13500000,0.1369,212985.0,28885.08620000,115,SUPERUSDT,0.1348,0.1378,0.1485,0.148,2022-08-28 16:14:00
479,1655877960000,0.41200000,0.422,0.41200000,0.422,29594.3,12332.18170000,60,PUNDIXUSDT,0.412,0.424,0.437,0.456,2022-06-22 06:06:00
480,1656387420000,0.46500000,0.472,0.46500000,0.471,49230.1,23017.22500000,117,PUNDIXUSDT,0.465,0.473,0.487,0.504,2022-06-28 03:37:00
481,1659257280000,0.43500000,0.449,0.43500000,0.445,270371.6,119420.50290000,391,PUNDIXUSDT,0.434,0.495,0.764,0.65,2022-07-31 08:48:00
482,1659270660000,0.74200000,0.755,0.74200000,0.753,166660.4,124826.44010000,455,PUNDIXUSDT,0.741,0.76,0.788,0.814,2022-07-31 12:31:00
483,1659274680000,0.73400000,0.756,0.73400000,0.754,189339.0,141175.26990000,534,PUNDIXUSDT,0.733,0.761,0.779,0.834,2022-07-31 13:38:00
484,1659310020000,0.74800000,0.764,0.74700000,0.761,68797.8,51967.03990000,170,PUNDIXUSDT,0.748,0.767,0.788,0.845,2022-07-31 23:27:00
485,1659310860000,0.82100000,0.838,0.82000000,0.833,94940.7,78592.63610000,304,PUNDIXUSDT,0.82,0.84,0.873,1.05,2022-07-31 23:41:00
486,1659313200000,0.87800000,0.901,0.87600000,0.896,141558.2,126204.48210000,347,PUNDIXUSDT,0.878,0.913,0.978,0.993,2022-08-01 00:20:00
487,1659334080000,0.90100000,0.917,0.90100000,0.913,87313.2,79426.91660000,174,PUNDIXUSDT,0.901,0.918,0.969,1.003,2022-08-01 06:08:00
488,1659335040000,0.96100000,0.983,0.96100000,0.977,50556.7,49193.20450000,242,PUNDIXUSDT,0.961,0.978,1.015,1.049,2022-08-01 06:24:00
489,1657141800000,0.02740000,0.0281,0.02740000,0.0277,4833264.0,133925.88940000,429,TLMUSDT,0.0274,0.0277,0.0287,0.0314,2022-07-06 21:10:00
490,1655666640000,0.18482000,0.18851,0.18482000,0.18802,362910.0,67880.59386100,248,MIRUSDT,0.1848,0.189,0.19582,0.20216,2022-06-19 19:24:00
491,1656263340000,0.20394000,0.20625,0.20394000,0.20625,55163.7,11311.93626500,78,MIRUSDT,0.20394,0.20826,0.21743,0.22732,2022-06-26 17:09:00
