,Time,ID_Coin,Time_human,Open,High,Low,Close,NumberOfTrades,Pt+10c,Pt+1buyHigh,Pt+5c,Pt-1,Pt3 +0,Pt3 +12,Pt3 +3,Pt3 +6,Pt3 +9,Pt3 -12,Pt3 -15,Pt3 -3,Pt3 -6,Pt3 -9,QAVol3 +0,QAVol3 +12,QAVol3 +3,QAVol3 +6,QAVol3 +9,QAVol3 -12,QAVol3 -15,QAVol3 -3,QAVol3 -6,QAVol3 -9,QuoteAssetVolume,Trades3 +0,Trades3 +12,Trades3 +3,Trades3 +6,Trades3 +9,Trades3 -12,Trades3 -15,Trades3 -3,Trades3 -6,Trades3 -9,Volume,Vt3 +0,Vt3 +12,Vt3 +3,Vt3 +6,Vt3 +9,Vt3 -12,Vt3 -15,Vt3 -3,Vt3 -6,Vt3 -9,mfi3 +0,mfi3 +12,mfi3 +3,mfi3 +6,mfi3 +9,mfi3 -12,mfi3 -15,mfi3 -3,mfi3 -6,mfi3 -9,rsi3 +0,rsi3 +12,rsi3 +3,rsi3 +6,rsi3 +9,rsi3 -12,rsi3 -15,rsi3 -3,rsi3 -6,rsi3 -9,vwap3 +0,vwap3 +12,vwap3 +3,vwap3 +6,vwap3 +9,vwap3 -12,vwap3 -15,vwap3 -3,vwap3 -6,vwap3 -9
0,1655446380000,NULSUSDT,2022-06-17 06:13:00,0.1888,0.1922,0.1878,0.1911,126,0.2083,0.1929,0.1971,0.1887,0.1973,0.2075,0.2056,0.2083,0.2091,0.1863,0.186,0.1927,0.1908,0.1883,67637.94560000,113011.70780000,143814.88090000,299072.76750000,107814.75760000,19951.15660000,13295.55610000,42604.18220000,169585.83400000,61405.62860000,14434.2617,436,967,1022,1699,590,143,92,368,1213,403,76200.0,345169.0,541695.0,721612.0,1439231.0,517019.0,107199.0,71999.0,223922.0,878763.0,327619.0,54.75597932230172,53.70725515511626,63.12778371404012,73.49260486847638,53.36243696427052,50.70658592077734,48.22039915842939,51.49182054141694,77.87442332849396,62.81871944588557,79.52426645749247,82.01651239967234,85.1697161843469,86.47599189789834,86.84570419829078,64.01192504258945,63.40090090090093,74.5356983183396,71.91097059803151,67.86382962125057,0.1940648800162599,0.2083426192846542,0.1997772715924512,0.20532988393881463,0.20758762659850907,0.18554523897216116,0.18442162753248698,0.19155836278417376,0.19059848533328025,0.1872731297539047
1,1656850860000,NULSUSDT,2022-07-03 12:21:00,0.191,0.1959,0.191,0.1939,243,0.2083,0.1948,0.1995,0.1916,0.1995,0.2098,0.1967,0.2033,0.2086,0.1874,0.1823,0.1901,0.1916,0.1895,160359.07830000,339762.64010000,190647.70500000,370949.01480000,308041.83250000,28409.10120000,3766.93890000,89630.30320000,61827.50280000,48283.98350000,53064.1241,751,1659,1030,1839,1618,178,27,492,364,221,272733.0,816194.0,1620793.0,957781.0,1810800.0,1485057.0,153720.0,20769.0,462165.0,323353.0,255281.0,71.38914174234712,75.40470186375383,74.26983719914709,84.37020382342679,73.65215444069986,49.581400271021984,43.15192248207229,61.86338218899324,56.8574013876799,54.03426426648679,73.67125398120093,77.75635012730866,66.7576323006986,73.15309966173675,76.98268397773494,57.70392197339075,43.177104935711306,61.118763848721976,65.76467746107133,62.010608388894326,0.19491568012845636,0.2079017156119366,0.19770047075071517,0.20169711439422094,0.20481696262914317,0.18529452401010954,0.18157969696969703,0.19167068558581726,0.1902588187582018,0.1878263860805556
2,1657271100000,NULSUSDT,2022-07-08 09:05:00,0.2081,0.2109,0.2052,0.2107,238,0.2338,0.2126,0.2272,0.2081,0.2216,0.2144,0.2267,0.228,0.2248,0.2036,0.205,0.2107,0.2185,0.2065,289681.59100000,334904.64820000,184466.38510000,425903.69380000,324022.33210000,140793.86100000,41871.52580000,150597.06560000,369771.53300000,51698.05830000,26221.4122,1720,1833,1297,2744,2309,861,165,1000,2003,264,126312.0,1312775.0,1500356.0,820839.0,1847289.0,1423305.0,691008.0,206582.0,713284.0,1703135.0,251970.0,64.78015853064697,60.77505121398311,56.859012287599384,66.82643562132199,60.464739274210494,90.43849944118155,76.89175078896639,57.5356510871877,82.29242444762859,57.638982593420614,73.57906696299898,56.40510276789249,76.68021565493095,77.40813682215813,71.49237283185025,65.01880514971796,72.18162839248433,64.10597185286471,84.15583436296599,71.35897342456022,0.217231003671002,0.22309856037801007,0.22191840557851608,0.22773610257828708,0.22792500747570624,0.20353068691347573,0.20243922930149302,0.21498533438668269,0.21494145105591092,0.20404332020471314
3,1657318140000,NULSUSDT,2022-07-08 22:09:00,0.2294,0.235,0.2289,0.235,373,0.2669,0.24,0.2488,0.2288,0.2488,0.2544,0.27,0.2746,0.2564,0.2227,0.2211,0.2423,0.2288,0.2269,456136.90470000,192505.04890000,662776.30020000,536027.28150000,347657.18450000,15370.15350000,756.92690000,321083.45490000,97814.67680000,78117.65890000,82398.2354,2609,954,2920,2755,1897,83,11,1500,491,464,353706.0,1848910.0,743534.0,2530913.0,1973589.0,1303166.0,69264.0,3425.0,1350083.0,427536.0,346533.0,94.20828265474955,51.75026769083102,96.08849068596034,79.14217112726672,61.427869476725995,54.99685498146334,45.138433100121404,91.88611438162611,78.65173389351371,75.41476817472613,93.50345498000418,68.34484002056539,96.130889446673,96.46496859569234,70.52019104421014,77.20910244920236,73.97927069783059,91.94640145064557,85.02412243999485,83.12901070132108,0.24331271315692152,0.26076873204019485,0.256396122780913,0.2673641937480918,0.26870215508941014,0.22214816959925154,0.22101072793334575,0.2360109292261165,0.2271982480889947,0.22506140424293586
4,1657321200000,NULSUSDT,2022-07-08 23:00:00,0.2452,0.2482,0.2451,0.2478,78,0.2659,0.2485,0.2555,0.2451,0.2555,0.2651,0.261,0.2584,0.2599,0.249,0.245,0.2459,0.2451,0.2463,150205.33580000,241978.26740000,241107.99250000,259970.91870000,154792.20980000,121857.68100000,189792.72530000,56939.39050000,45888.30620000,80769.11010000,23599.7512,635,1325,1224,1248,744,434,765,240,247,247,95853.0,606637.0,910399.0,939008.0,994019.0,588920.0,495179.0,765031.0,230648.0,185737.0,328028.0,54.71421046780612,57.0483750886908,58.37003392740342,59.00048291883271,53.30724866062473,53.31936445615857,56.236684174054474,50.40788166112041,49.89284093650024,51.46366734936224,63.86527930764318,67.20692730080111,66.23215572784434,64.09483710006987,64.80056719862657,61.47544081830722,59.79039636120623,59.234081405603106,58.825735164802,59.6580875566114,0.2500260396002159,0.2637906944641757,0.25541679029358844,0.2589075230368399,0.2604898190012377,0.2466216276652305,0.24517186056647355,0.24635130988548284,0.24657103649852904,0.24764213399545937
5,1657723620000,NULSUSDT,2022-07-13 14:47:00,0.2105,0.2142,0.2105,0.213,68,0.2314,0.2149,0.2247,0.21,0.2313,0.2234,0.2329,0.2345,0.2311,0.2137,0.2161,0.213,0.2139,0.2112,414568.71930000,160955.94330000,417472.80870000,421620.17510000,156212.09500000,13295.36260000,24177.16350000,27271.58860000,23126.79250000,30151.69300000,9833.0115,1789,1506,2131,2322,1557,101,197,158,117,141,46276.0,1827124.0,712166.0,1809718.0,1764894.0,671595.0,62147.0,112173.0,128947.0,109479.0,141901.0,69.75065463385161,52.44606765050356,70.00814926590917,69.79645490090888,52.206068633159866,48.387216634912,49.1084737711619,49.44435765931113,49.10471873304183,49.61648218019817,64.15789497139238,55.70294443221837,64.93783545416811,65.74067984731909,62.467352972118924,53.83637283277602,55.67623724971665,53.0709822926167,53.83141298008255,51.911966084526064,0.22504778877317505,0.22907284468440237,0.22911801806805646,0.23453866168785126,0.23557799386740513,0.21512001644485218,0.21401123245435047,0.21254591739155954,0.2123177559869519,0.21271929333620831
6,1655318280000,LINKUSDT,2022-06-15 18:38:00,6.36,6.49,6.36,6.48,1430,6.95,6.49,6.83,6.35,6.65,6.81,6.93,6.77,6.91,6.34,6.27,6.48,6.3,6.2,2673366.99470000,1161224.43580000,5355735.01110000,3465275.46900000,1679926.94390000,757831.44720000,358110.05070000,1048879.68970000,519667.54630000,967687.44630000,669527.2183,3867,2191,6790,7188,3063,1450,762,2189,1019,1605,104085.31,407980.44,169893.31,790733.44,497878.82,243235.39,120005.24,57385.15,164025.65,82997.43,154246.26,65.83142981734807,50.23974337465619,75.61162237221853,61.743572754272634,52.584643375285566,54.387536853859025,51.27399349680271,56.01954863880286,51.831826511957246,55.95181130293063,65.87503230220483,63.42488510513539,72.84962076331055,64.71066254388123,68.07195700462012,54.81014914730526,50.79899074852816,60.09584123322997,52.12415587328168,46.623352890630784,6.536496670865863,6.866883901473475,6.754842730054425,6.857500167919659,6.881094007674378,6.296178562247175,6.2412489031087155,6.370721380366561,6.258162942921682,6.279171579128399
7,1655318280000,WAVESUSDT,2022-06-15 18:38:00,4.32,4.39,4.32,4.39,390,4.66,4.39,4.55,4.31,4.47,4.54,4.62,4.58,4.61,4.29,4.26,4.39,4.28,4.24,612016.47300000,442721.94800000,990649.19280000,895958.42600000,373625.79350000,257247.77440000,236924.29290000,275927.06850000,188158.90760000,270196.50430000,142436.6885,1372,1102,1855,2147,955,565,502,699,483,452,32729.0,138288.26,97033.43,217371.0,190762.32,80626.13,59905.85,55916.88,63785.54,44194.9,63396.24,57.59106599849563,52.54260415199223,62.3319205951533,60.357501375466676,51.51869550925334,52.43294963050803,52.18112935288806,52.69262799643063,51.31040795270044,52.61273524210661,67.023299270026,64.00608352449167,73.95118057498112,69.74343031725147,71.07283341684966,54.304564135842526,51.20120120120119,62.02099611737611,52.89845128095778,48.74102062456132,4.417205563511944,4.587845108926309,4.528157023476159,4.625182190956622,4.657851121765376,4.265746206580809,4.241739687367084,4.316497578635538,4.259405113965085,4.271242052209604
8,1659695100000,HOTUSDT,2022-08-05 10:25:00,0.002504,0.002534,0.002503,0.00253,1079,0.002712,0.002539,0.0028,0.002503,0.002789,0.002664,0.002734,0.002712,0.002683,0.002474,0.002477,0.002536,0.002496,0.002503,2784538.09738000,480902.45361900,837312.59791200,467528.26923000,624587.38293200,18608.95701200,11618.98537300,448703.14563000,17447.89098400,238400.56837500,317034.442759,20321,1743,4748,1738,2702,78,49,1656,91,1070,125796732.0,1023348363.0,179544190.0,302719176.0,171335396.0,231632041.0,7515408.0,4686046.0,178022115.0,6981458.0,95572659.0,91.59588936867726,51.49695780953501,55.682031504081316,51.580254900120856,53.16799908130584,45.901720394606436,44.00728108042646,70.28943200972876,47.39265029150284,74.79992610434294,92.42101862729137,65.96921313732722,79.529928472362,75.02224291325803,69.43542972426266,52.934388394329204,55.63063063063074,75.36409270766532,63.20782846926447,68.71786659474407,0.002691375920215512,0.002683393481232138,0.0027285804904044176,0.0027442496189517464,0.002706464167014897,0.002476741539983677,0.0024810785251670672,0.0025220817358718433,0.0024955602528110438,0.002493875277475132
9,1662547140000,FETUSDT,2022-09-07 10:39:00,0.0911,0.0922,0.0903,0.092,312,0.0993,0.0921,0.0941,0.091,0.0941,0.0967,0.093,0.1014,0.1002,0.0876,0.0873,0.0929,0.091,0.0878,238258.06420000,377378.11610000,456718.49330000,810026.09270000,516358.55990000,188306.50950000,356317.11010000,288299.15300000,821592.59490000,27852.83410000,188710.8834,533,1536,1527,2179,1948,629,775,681,2121,120,2058001.0,2568155.0,3852948.0,4858162.0,8277894.0,5132162.0,2159511.0,4064941.0,3140280.0,8902308.0,317768.0,50.71888276737037,51.76316872465403,55.45821222750253,62.08817088286773,54.75620434508448,51.14667728727265,59.93894171721371,51.903195109874645,67.20130431843782,44.334318462503816,75.94754157551455,65.07655463361058,69.58163248240034,81.99367206339572,77.15047126011132,55.91614763906358,54.478995057660626,73.49075733867737,68.80626422322177,56.893227297588574,0.0926915357127946,0.09924700254829007,0.09355139395925777,0.0969645346568762,0.09944855094316285,0.08739251731718711,0.08725173220892764,0.0914274312132907,0.09104603989526044,0.08757949396629663
